epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1098.21,1.97342,4.02208,2.01408,0.19879,0.18232,0.1289,0.04769,1.86806,4.28442,2.03175,0.000166018,0.000166018,0.000166018
2,2124.65,1.83309,3.08092,1.80459,0.20077,0.26847,0.18329,0.07838,1.88219,4.16319,1.89055,0.000326098,0.000326098,0.000326098
3,3045.99,1.81394,2.68341,1.75381,0.25579,0.27058,0.22373,0.08428,1.87145,3.52872,1.89466,0.000479577,0.000479577,0.000479577
4,3913.65,1.78355,2.4665,1.73616,0.38906,0.30778,0.27568,0.11495,1.8919,3.14623,1.84207,0.0004703,0.0004703,0.0004703
5,4786.09,1.77268,2.2683,1.69452,0.3606,0.31109,0.2985,0.12397,1.87431,2.78583,1.79097,0.0004604,0.0004604,0.0004604
6,5658.62,1.74673,2.14099,1.6796,0.39373,0.29169,0.27229,0.11314,1.89554,2.85684,1.80717,0.0004505,0.0004505,0.0004505
7,6532.63,1.73616,2.05429,1.67045,0.38966,0.3771,0.33157,0.14867,1.79199,2.75593,1.70947,0.0004406,0.0004406,0.0004406
8,7402.05,1.71049,1.97217,1.65865,0.45663,0.37249,0.36092,0.15717,1.85476,2.46213,1.82503,0.0004307,0.0004307,0.0004307
9,8272.36,1.69139,1.91223,1.64237,0.4827,0.34871,0.35861,0.15938,1.85032,2.42696,1.7671,0.0004208,0.0004208,0.0004208
10,9150.58,1.6766,1.82051,1.61376,0.50451,0.34389,0.36427,0.15962,1.83378,2.34845,1.76448,0.0004109,0.0004109,0.0004109
11,10026.7,1.67525,1.79714,1.62743,0.37676,0.42132,0.39666,0.18355,1.77782,2.31481,1.71564,0.000401,0.000401,0.000401
12,10901.3,1.64441,1.73269,1.60713,0.40357,0.39027,0.36853,0.16578,1.78572,2.27318,1.69217,0.0003911,0.0003911,0.0003911
13,11862.4,1.64394,1.73026,1.60377,0.514,0.39503,0.38068,0.18273,1.80556,2.10009,1.69601,0.0003812,0.0003812,0.0003812
14,12808.8,1.6494,1.71263,1.60168,0.46912,0.40012,0.39853,0.18185,1.78783,2.37001,1.70179,0.0003713,0.0003713,0.0003713
15,13769.2,1.62427,1.67212,1.58497,0.52684,0.41565,0.41035,0.18484,1.82215,2.13273,1.73644,0.0003614,0.0003614,0.0003614
16,14742.5,1.61332,1.6379,1.58676,0.50767,0.46313,0.44497,0.19246,1.81377,2.16338,1.74671,0.0003515,0.0003515,0.0003515
17,15642.5,1.59368,1.60088,1.57319,0.49203,0.39759,0.41868,0.18874,1.82926,2.10189,1.71902,0.0003416,0.0003416,0.0003416
18,16614.9,1.60497,1.57345,1.57341,0.44131,0.41901,0.44215,0.20131,1.82401,2.13137,1.73129,0.0003317,0.0003317,0.0003317
19,17625.4,1.57656,1.53472,1.55321,0.57464,0.37876,0.40267,0.18548,1.82872,2.06051,1.73104,0.0003218,0.0003218,0.0003218
20,18757.6,1.56637,1.51401,1.54338,0.50432,0.42828,0.44608,0.20545,1.82928,1.90649,1.6855,0.0003119,0.0003119,0.0003119
21,19908.7,1.56391,1.48802,1.54473,0.53704,0.49772,0.44911,0.20114,1.81719,2.30353,1.7112,0.000302,0.000302,0.000302
22,20992.6,1.55202,1.47459,1.54078,0.5171,0.42285,0.45444,0.21524,1.82528,1.92888,1.71405,0.0002921,0.0002921,0.0002921
23,21941.8,1.5465,1.45702,1.53041,0.55835,0.42088,0.44401,0.20138,1.81789,2.00409,1.7151,0.0002822,0.0002822,0.0002822
