epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1278.1,1.99244,4.08263,2.00846,0.18502,0.20648,0.13824,0.05121,1.87296,4.47532,1.92435,0.000151385,0.000151385,0.000151385
2,2329.29,1.84974,3.09648,1.8259,0.49606,0.20114,0.18868,0.07226,1.93403,3.82193,1.94668,0.000297051,0.000297051,0.000297051
3,3378.27,1.81787,2.77326,1.76972,0.26759,0.28127,0.24621,0.10042,1.84491,3.29342,1.79933,0.000436711,0.000436711,0.000436711
4,4402.63,1.79896,2.54538,1.74522,0.3862,0.3058,0.30705,0.13144,1.83046,3.11551,1.79285,0.000427973,0.000427973,0.000427973
5,5410.14,1.76202,2.33558,1.71247,0.44111,0.35424,0.30996,0.13844,1.81077,2.94116,1.74944,0.000418964,0.000418964,0.000418964
6,6425.95,1.74081,2.22113,1.69951,0.4275,0.31387,0.30975,0.13396,1.82017,2.8286,1.76585,0.000409955,0.000409955,0.000409955
7,7420.9,1.72208,2.07988,1.67917,0.43356,0.37264,0.31101,0.13735,1.80034,2.69634,1.78171,0.000400946,0.000400946,0.000400946
8,8380.68,1.70139,1.98401,1.66496,0.53767,0.31705,0.36728,0.15701,1.79785,2.62175,1.77258,0.000391937,0.000391937,0.000391937
9,9343.88,1.68523,1.95469,1.64696,0.45244,0.33326,0.35889,0.15611,1.80609,2.57756,1.73372,0.000382928,0.000382928,0.000382928
10,10306.1,1.6622,1.89034,1.62907,0.55425,0.39053,0.40609,0.18922,1.85196,2.3165,1.78099,0.000373919,0.000373919,0.000373919
11,11269.3,1.65229,1.83509,1.63762,0.45208,0.37367,0.36663,0.16548,1.84389,2.32237,1.81517,0.00036491,0.00036491,0.00036491
12,12226.8,1.65388,1.76696,1.6177,0.48713,0.35271,0.39943,0.17718,1.84384,2.36273,1.80316,0.000355901,0.000355901,0.000355901
13,13183.6,1.63883,1.74163,1.61184,0.49294,0.40002,0.36532,0.16238,1.85055,2.41161,1.78109,0.000346892,0.000346892,0.000346892
14,14142.1,1.63178,1.71158,1.6034,0.36858,0.46819,0.3895,0.1722,1.81348,2.26843,1.79237,0.000337883,0.000337883,0.000337883
15,15123.7,1.61098,1.69365,1.59849,0.42271,0.4099,0.42113,0.19003,1.8485,2.20989,1.81624,0.000328874,0.000328874,0.000328874
16,16109.7,1.61087,1.65386,1.59583,0.43284,0.43901,0.42938,0.19316,1.82388,2.31777,1.75363,0.000319865,0.000319865,0.000319865
17,17087,1.59931,1.59682,1.57574,0.54052,0.38966,0.41378,0.18666,1.82594,2.23236,1.78269,0.000310856,0.000310856,0.000310856
18,18063.3,1.58279,1.58679,1.57214,0.43225,0.44406,0.41693,0.1892,1.79944,2.17505,1.77746,0.000301847,0.000301847,0.000301847
19,19044.3,1.57554,1.53507,1.56129,0.52731,0.4661,0.46184,0.21107,1.8205,2.00277,1.83617,0.000292838,0.000292838,0.000292838
20,20021.8,1.57393,1.53393,1.56231,0.54732,0.42448,0.43587,0.18488,1.83297,2.20114,1.80932,0.000283829,0.000283829,0.000283829
21,20992.4,1.56056,1.51198,1.54955,0.45135,0.45286,0.43589,0.19727,1.81203,2.24381,1.7413,0.00027482,0.00027482,0.00027482
22,21971.6,1.551,1.49844,1.54403,0.52419,0.41973,0.41257,0.18278,1.88632,2.03749,1.85721,0.000265811,0.000265811,0.000265811
23,22948.3,1.53993,1.4623,1.53228,0.56897,0.45633,0.47372,0.20837,1.85993,2.04989,1.87499,0.000256802,0.000256802,0.000256802
24,23925.3,1.53132,1.44436,1.52763,0.56928,0.44163,0.46448,0.20842,1.83465,1.97856,1.81225,0.000247793,0.000247793,0.000247793
25,24902.4,1.51818,1.4266,1.51921,0.44468,0.47561,0.43374,0.19598,1.85326,2.02469,1.82072,0.000238784,0.000238784,0.000238784
26,25874.1,1.51083,1.39642,1.52777,0.43606,0.53552,0.46249,0.20829,1.83885,2.07464,1.78455,0.000229775,0.000229775,0.000229775
27,26844.1,1.50123,1.38954,1.52107,0.49453,0.50174,0.47908,0.21165,1.85513,1.95898,1.8654,0.000220766,0.000220766,0.000220766
28,27817.4,1.4921,1.3441,1.50286,0.51765,0.47533,0.46575,0.20533,1.8556,2.08241,1.81584,0.000211757,0.000211757,0.000211757
29,28791.4,1.48312,1.31754,1.49599,0.49016,0.50538,0.47135,0.21025,1.86106,2.03864,1.80457,0.000202748,0.000202748,0.000202748
30,29976.1,1.48273,1.32649,1.49468,0.52223,0.50861,0.47632,0.21393,1.83377,1.97929,1.80373,0.000193739,0.000193739,0.000193739
31,31203.4,1.46736,1.2993,1.49012,0.45187,0.50045,0.4702,0.21527,1.86345,1.92798,1.82065,0.00018473,0.00018473,0.00018473
32,32370.6,1.47218,1.28401,1.48058,0.54549,0.49002,0.48414,0.21313,1.876,1.91056,1.82729,0.000175721,0.000175721,0.000175721
33,33525.4,1.45239,1.25429,1.47132,0.51791,0.51739,0.49682,0.21709,1.90063,1.91355,1.86585,0.000166712,0.000166712,0.000166712
34,34806.1,1.44171,1.23758,1.4603,0.50833,0.52311,0.48786,0.2131,1.84634,2.01204,1.81267,0.000157703,0.000157703,0.000157703
35,36104.8,1.43725,1.23429,1.45745,0.54991,0.52223,0.52422,0.2245,1.89291,1.82391,1.85312,0.000148694,0.000148694,0.000148694
36,37335.5,1.43385,1.22323,1.45991,0.48564,0.48838,0.46471,0.2066,1.87101,1.97112,1.83865,0.000139685,0.000139685,0.000139685
37,38542.1,1.41638,1.21141,1.44731,0.54799,0.46686,0.46994,0.20964,1.84947,1.9829,1.81331,0.000130676,0.000130676,0.000130676
38,39674.5,1.42516,1.20731,1.44928,0.52414,0.50206,0.49534,0.21944,1.88162,2.00596,1.83366,0.000121667,0.000121667,0.000121667
39,40656.6,1.40306,1.17023,1.43714,0.55847,0.52378,0.49447,0.21926,1.84974,1.92641,1.80661,0.000112658,0.000112658,0.000112658
40,41748.8,1.39079,1.15973,1.43489,0.57763,0.53384,0.50055,0.22525,1.89086,1.82383,1.86586,0.000103649,0.000103649,0.000103649
41,42896.7,1.39715,1.05815,1.50317,0.48079,0.54822,0.48834,0.22261,1.8769,1.91907,1.84275,9.464e-05,9.464e-05,9.464e-05
42,43995.8,1.35639,0.98795,1.4755,0.48798,0.51196,0.47993,0.20911,1.89248,1.98348,1.87637,8.5631e-05,8.5631e-05,8.5631e-05
43,45025.1,1.32836,0.967,1.46143,0.51305,0.5321,0.49866,0.22547,1.85987,1.92235,1.84744,7.6622e-05,7.6622e-05,7.6622e-05
44,46060.2,1.32363,0.95653,1.45195,0.55809,0.53707,0.51219,0.22832,1.88593,1.91697,1.87113,6.7613e-05,6.7613e-05,6.7613e-05
45,47094.4,1.31299,0.94332,1.43806,0.56641,0.5164,0.51302,0.22455,1.89869,1.93563,1.87203,5.8604e-05,5.8604e-05,5.8604e-05
46,48105.7,1.30061,0.92083,1.43653,0.51908,0.53144,0.49617,0.22032,1.89937,1.97262,1.88223,4.9595e-05,4.9595e-05,4.9595e-05
47,49143.2,1.28638,0.91128,1.42019,0.55095,0.52078,0.50066,0.22002,1.9079,1.87449,1.89561,4.0586e-05,4.0586e-05,4.0586e-05
48,50432.4,1.26835,0.88514,1.40675,0.53996,0.50435,0.49226,0.2162,1.9011,1.93511,1.88488,3.1577e-05,3.1577e-05,3.1577e-05
49,51599,1.26367,0.88429,1.407,0.54042,0.53821,0.50075,0.22051,1.90767,1.90987,1.89473,2.2568e-05,2.2568e-05,2.2568e-05
50,52712.5,1.24935,0.8665,1.40036,0.55063,0.52333,0.5012,0.22219,1.90222,1.91829,1.89009,1.3559e-05,1.3559e-05,1.3559e-05
