epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8425,2.18296,3.21385,1.95477,0.60266,0.12564,0.08771,0.03358,1.88272,3.62701,1.7409,0.00040008,0.00040008,0.00040008
2,122.809,1.9475,2.23019,1.77639,0.68673,0.26018,0.21024,0.08968,1.76287,6.72275,1.64322,0.000800657,0.000800657,0.000800657
3,188.662,1.84656,2.01276,1.68737,0.60866,0.19285,0.09323,0.03602,1.86043,3.53639,1.60312,0.00118473,0.00118473,0.00118473
4,255.424,1.81163,1.92351,1.61966,0.71849,0.21968,0.25804,0.11707,1.7095,3.01178,1.54016,0.0015523,0.0015523,0.0015523
5,321.073,1.78455,1.91995,1.619,0.39456,0.33803,0.3268,0.13873,1.70709,2.03937,1.54099,0.00153497,0.00153497,0.00153497
6,385.533,1.75126,1.83477,1.62369,0.44251,0.39649,0.40421,0.1803,1.62054,1.83002,1.49285,0.00150197,0.00150197,0.00150197
7,451.488,1.73652,1.78464,1.57321,0.41534,0.40146,0.36694,0.16994,1.64305,2.04406,1.5051,0.00146896,0.00146896,0.00146896
8,509.797,1.70662,1.75164,1.55185,0.34285,0.46851,0.35655,0.16119,1.59745,2.48507,1.48977,0.00143595,0.00143595,0.00143595
9,572.129,1.67103,1.71717,1.54702,0.44639,0.53512,0.49966,0.22895,1.55629,1.71297,1.46656,0.00140295,0.00140295,0.00140295
10,635.484,1.67147,1.62179,1.51675,0.53954,0.49135,0.50858,0.22689,1.58084,1.62098,1.46001,0.00136994,0.00136994,0.00136994
11,698.027,1.66301,1.5906,1.50885,0.55417,0.54188,0.55355,0.27582,1.4907,1.54885,1.43283,0.00133693,0.00133693,0.00133693
12,760.789,1.681,1.58619,1.50576,0.53245,0.53159,0.5372,0.25591,1.49477,1.51673,1.44616,0.00130393,0.00130393,0.00130393
13,823.93,1.63302,1.53818,1.5025,0.58429,0.56198,0.58415,0.29201,1.46564,1.4318,1.42297,0.00127092,0.00127092,0.00127092
14,887.504,1.6295,1.52262,1.5006,0.64893,0.61866,0.65195,0.34479,1.44476,1.36874,1.40099,0.00123791,0.00123791,0.00123791
15,952.728,1.60782,1.53697,1.48947,0.67594,0.59374,0.6787,0.37793,1.40284,1.34089,1.36878,0.00120491,0.00120491,0.00120491
16,1017.3,1.64727,1.50653,1.49025,0.70001,0.58397,0.69208,0.37798,1.46879,1.39778,1.41498,0.0011719,0.0011719,0.0011719
17,1080.82,1.58723,1.50598,1.47315,0.67644,0.69352,0.75462,0.43894,1.3426,1.24212,1.32997,0.00113889,0.00113889,0.00113889
18,1143.94,1.57207,1.39599,1.43104,0.784,0.68614,0.78196,0.44868,1.33908,1.19522,1.3088,0.00110589,0.00110589,0.00110589
19,1206.82,1.58011,1.38196,1.43528,0.79643,0.63104,0.77093,0.4497,1.3246,1.18772,1.30402,0.00107288,0.00107288,0.00107288
20,1266.23,1.55703,1.37271,1.42542,0.73878,0.69104,0.73376,0.41698,1.42444,1.28288,1.34921,0.00103987,0.00103987,0.00103987
21,1322.25,1.54307,1.59358,1.42314,0.74528,0.69205,0.7715,0.44971,1.32545,1.12983,1.28764,0.00100687,0.00100687,0.00100687
22,1379.35,1.51691,1.35012,1.40477,0.7025,0.71607,0.77894,0.456,1.30153,1.13425,1.27996,0.000973861,0.000973861,0.000973861
23,1448.51,1.53389,1.34764,1.41823,0.73982,0.6689,0.77029,0.45986,1.35265,1.12297,1.30597,0.000940855,0.000940855,0.000940855
24,1516.45,1.5082,1.29547,1.40812,0.74136,0.71013,0.78224,0.4577,1.31347,1.12719,1.28463,0.000907848,0.000907848,0.000907848
25,1594.35,1.5253,1.30915,1.42193,0.7371,0.72587,0.78307,0.41883,1.37705,1.2055,1.32064,0.000874842,0.000874842,0.000874842
26,1669.36,1.49431,1.26708,1.39521,0.70959,0.7386,0.83411,0.49949,1.23609,1.07201,1.25583,0.000841835,0.000841835,0.000841835
27,1742.6,1.43463,1.23011,1.35067,0.82449,0.72978,0.84513,0.51274,1.24749,1.05673,1.25267,0.000808828,0.000808828,0.000808828
28,1815.9,1.41501,1.22485,1.34573,0.81148,0.74921,0.83202,0.5221,1.1874,0.9962,1.21739,0.000775822,0.000775822,0.000775822
29,1889.96,1.42295,1.1915,1.34214,0.82488,0.70122,0.82442,0.51346,1.21339,0.99771,1.21586,0.000742815,0.000742815,0.000742815
30,1967.53,1.43142,1.17606,1.33394,0.74044,0.80794,0.85771,0.53185,1.18317,1.00077,1.19975,0.000709809,0.000709809,0.000709809
31,2042.74,1.48458,1.2449,1.39546,0.78829,0.80102,0.85529,0.52323,1.19194,0.97102,1.20729,0.000676802,0.000676802,0.000676802
32,2114.39,1.39244,1.28665,1.34133,0.80961,0.7958,0.87677,0.55495,1.20613,0.94486,1.20567,0.000643795,0.000643795,0.000643795
33,2178.97,1.55674,1.79337,1.47463,0.77169,0.82169,0.86643,0.54885,1.17419,0.9508,1.19209,0.000610789,0.000610789,0.000610789
34,2240.82,1.44376,1.19955,1.34208,0.78339,0.80014,0.84313,0.51264,1.24712,1.1136,1.23055,0.000577782,0.000577782,0.000577782
35,2300.13,1.42071,1.14768,1.3215,0.81531,0.84004,0.8988,0.55815,1.1451,0.91409,1.16795,0.000544776,0.000544776,0.000544776
36,2358.96,1.39864,1.14164,1.32289,0.82292,0.81157,0.89066,0.56612,1.15419,0.89614,1.16747,0.000511769,0.000511769,0.000511769
37,2416.89,1.36592,1.10437,1.30367,0.81563,0.84873,0.89897,0.58314,1.10177,0.86407,1.14607,0.000478762,0.000478762,0.000478762
38,2475.99,1.3886,1.09317,1.30349,0.84632,0.828,0.91327,0.58717,1.09579,0.8676,1.14321,0.000445756,0.000445756,0.000445756
39,2535.2,1.35554,1.10726,1.31906,0.77252,0.8501,0.89444,0.57004,1.13207,0.89854,1.1507,0.000412749,0.000412749,0.000412749
40,2594.16,1.33208,1.07777,1.29564,0.80886,0.84593,0.89812,0.59032,1.08637,0.85179,1.13234,0.000379743,0.000379743,0.000379743
41,2652.66,1.41693,1.20688,1.33078,0.83745,0.8231,0.89592,0.58961,1.11652,0.84276,1.14739,0.000346736,0.000346736,0.000346736
42,2709.1,1.39036,1.22062,1.30876,0.84336,0.82221,0.89007,0.58405,1.10891,0.87285,1.15113,0.000313729,0.000313729,0.000313729
43,2765.58,1.35329,1.10344,1.31134,0.81625,0.7907,0.85898,0.5533,1.16732,0.91939,1.17807,0.000280723,0.000280723,0.000280723
44,2822.18,1.32974,1.09035,1.29391,0.84775,0.78257,0.88315,0.5791,1.09522,0.89177,1.14087,0.000247716,0.000247716,0.000247716
45,2879.16,1.30836,1.09944,1.30029,0.81124,0.84768,0.89684,0.59062,1.07642,0.85812,1.13149,0.00021471,0.00021471,0.00021471
